time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
89088,12.0,11.829749050000002,87,207,428,0.2,0.0003,0.04058120772242546,860,-0.0028574759926414117,0.0037461035,0.04091796875,-0.5134554978460073,0.9963632225990295,0.09132554489187897,,
90000,,,,,,0.2,0.0003,0.04534008726477623,870,-0.0016967628398560919,0.0039919135,0.03681640625,-0.5023099882528186,0.9965839982032776,0.08601942234672606,12.033563350000001,12.0
90112,12.0,11.777968500000002,88,209,430,,,,,,,,,,,,
91136,12.0,11.85258597,89,211,429,0.2,0.0003,0.044842272996902466,880,-0.0010176248470088467,0.0028479176,0.01162109375,-0.483889870159328,0.9955199360847473,0.11220677588135004,,
92160,12.0,11.861461149999998,90,215,428,0.2,0.0003,0.07747741043567657,890,-0.0010570499798632227,0.0025178082,0.018359375,-0.46519930362701417,0.99611496925354,0.09803085040766746,,
93184,12.0,11.91049657,91,218,427,0.2,0.0003,0.05151335895061493,900,-0.0011296719632809982,0.0026828286,0.02861328125,-0.4409032575786114,0.9958516359329224,0.10441176062449813,,
94208,12.0,11.805762730000001,92,219,428,0.2,0.0003,0.07262690365314484,910,-0.001741052480065264,0.0027011014,0.0294921875,-0.4272034639492631,0.9959016442298889,0.10421116328798234,,
95000,,,,,,0.2,0.0003,0.015118550509214401,920,-0.002446410385891795,0.0044114185,0.052734375,-0.3819407969713211,0.9967935085296631,0.08061470822431147,11.588590800000002,12.0
95232,12.0,11.90662159,93,222,427,,,,,,,,,,,,
96256,12.0,11.777535250000003,94,225,426,0.2,0.0003,0.035424623638391495,930,-0.003777206005179323,0.0034956557,0.043359375,-0.3512080416083336,0.9963788986206055,0.09064222099259496,,
97280,12.0,11.72139226,95,228,426,0.2,0.0003,0.048292048275470734,940,-0.003825411351863295,0.0031251218,0.040234375,-0.3212115965783596,0.9960341453552246,0.09874855868984014,,
98304,12.0,11.762719429999999,96,229,427,0.2,0.0003,0.030210178345441818,950,-0.0016720028535928578,0.0028522958,0.023828125,-0.3293022488243878,0.9969630837440491,0.07754824620205909,,
99328,12.0,11.844211510000001,97,232,428,0.2,0.0003,0.0711454451084137,960,0.00010211565531790257,0.0021297229,0.01015625,-0.3145139116793871,0.9963728189468384,0.09434838120359927,,
100000,,,,,,0.2,0.0003,0.023559410125017166,970,-0.0015962220379151404,0.0017469558,0.01875,-0.29787648618221285,0.996923565864563,0.07902605964336544,11.684051649999999,12.0
100352,12.0,11.83413411,98,235,426,,,,,,,,,,,,
101376,12.0,11.823998759999997,99,237,426,0.2,0.0003,0.04283527657389641,980,0.00021094017138238995,0.0028878914,0.012890625,-0.30870965784415605,0.9955098628997803,0.11529781257268042,,
102400,12.0,11.8205134,100,240,426,0.2,0.0003,0.038597144186496735,990,-0.00234797308803536,0.0010706633,0.0349609375,-0.290578197222203,0.9968587160110474,0.08085049246437848,,
