maturation_qtr,margin_slope,capex_per_store,new_store_density,reached_breakeven,quarters_to_breakeven,aggressive_quarters_to_breakeven,final_margin
2.1703813952256312,6.258425602431473e-05,0.8643687630789345,457.99028610373387,1,3.5,11.75,0.026282052504105823
3.5513767899949387,0.0001162322270216266,2.048514374337494,483.1404852838935,1,3.0,99.0,0.04706531744158797
1.742181148332979,3.7810907019243775e-05,2.185758551838229,390.89565115917054,1,5.75,99.0,0.008985023074387567
1.5267569369561391,8.028926638132367e-05,2.4496240730856833,368.88959766157245,1,2.0,5.25,0.04738086653064291
3.206781855368555,8.256516175543297e-05,2.0302470720251637,344.0373364779981,1,4.0,99.0,0.028870520318186894
1.5065885734424072,0.0001159508001502465,0.95198169620649,345.7578107098474,1,1.25,2.0,0.05
2.896865291437747,0.00013921076167507999,1.4100040382342955,324.07820329326427,1,2.0,99.0,0.05
3.5694699678098356,3.159815166249973e-05,1.6572432586865034,477.7245914595996,0,99.0,99.0,-0.0032557229110625873
1.2153575920785642,4.476293790858679e-05,1.1255380580392207,321.8763426535162,1,3.0,7.75,0.01960364396343776
2.245916155199853,3.5981706474890504e-05,1.0224741367161951,383.5040995769802,1,8.0,99.0,0.004659390079432033
3.8136976725172422,7.15510928824691e-05,1.6960995027873769,306.4527596714549,1,5.75,99.0,0.015676108027125133
2.637467228791539,7.256230035739344e-05,1.9683291982222249,357.8772857422439,1,3.75,99.0,0.02824462640805112
1.9007162588104416,9.497168935935654e-05,1.9289984372274886,443.3089341558229,1,2.0,5.0,0.05
1.70222265848488,0.0001392990595259183,1.989333797478008,466.8266939512565,1,1.25,1.75,0.05
1.0255957258841564,3.0221558907381426e-05,1.4996959312547216,326.82977206038214,1,4.75,99.0,0.0073913972570600825
1.5847758005187862,7.448865355014576e-05,1.7472605732530198,404.57738395994113,1,2.25,4.75,0.04199422000957617
2.8505192905138133,0.00010759169009708232,0.74469241627523,417.46128056746613,1,2.5,6.5,0.05
3.4885526752166647,5.339869866935759e-05,1.1897552607439286,321.0565488954014,1,7.25,99.0,0.007794983577956976
2.6190011669004383,4.80251646169254e-05,1.0296094583311908,458.5114444987622,1,6.25,99.0,0.010659667416913356
2.252088654452073,0.00011597808504376652,1.5822404954468636,438.87035276451934,1,2.0,4.25,0.05
1.5661568560557981,3.9782340334902566e-05,1.7373183273486905,477.5454971800708,1,4.75,99.0,0.012397355036619335
3.586743407617302,0.00010448572587218603,1.1724855051973986,484.1907941406686,1,3.25,99.0,0.03966733266477769
3.968822865622269,0.00012044886373326834,2.0869279819840543,381.04510852961585,1,3.25,99.0,0.0438755857744144
1.567574979734166,9.68058434317401e-05,1.9627679593421226,412.483485271253,1,1.5,2.75,0.05
3.681529074804259,4.536589991169827e-05,1.6727557851234254,318.84716353370413,1,10.0,99.0,0.002479790780216859
3.29121760738913,4.321043724754659e-05,2.0836336640917166,320.39873969184833,1,9.5,99.0,0.0029393586421034013
1.8308606554332343,5.350852975951496e-05,1.326562174756338,430.9024415486348,1,3.75,99.0,0.02210750792008043
1.6968670258237113,6.367964135777431e-05,1.473557986756681,464.84861959125857,1,2.75,7.5,0.031918305584654916
3.5074283745717603,3.801378192702996e-05,2.3465827047727488,478.79921995411723,0,99.0,99.0,-0.00032244148359277663
3.1543280563392275,7.138909352803021e-05,2.0880774743260706,356.071984791989,1,4.5,99.0,0.02172996918647969
2.831818415708261,5.166631390146571e-05,1.060490802813213,425.1509058434197,1,6.0,99.0,0.011501244138518392
